Article Name,Description,Link
Kowloon Walled City,A former enclave in the city of Hong Kong known for lawlessness and extremely cramped conditions before it was destroyed and turned into a park.,https://en.wikipedia.org/wiki/Hong_Kong
Living root bridge,Double-decker suspension bridges formed of living plant aerial roots of rubber fig trees by tree shaping common in the southern part of the Northeast Indian state of Meghalaya.,https://en.wikipedia.org/wiki/India
Love Land,An erotic-themed sculpture park on Jeju island in South Korea.,https://en.wikipedia.org/wiki/South_Korea
Nahwa,One of only eight counter-enclaves (enclaves of enclaves).,https://en.wikipedia.org/wiki/Emirate_of_Sharjah
Nakhchivan Autonomous Republic,A landlocked exclave of Azerbaijan (it is surrounded by three different countries rather than only one so it is not an enclave).,https://en.wikipedia.org/wiki/Azerbaijan
National Fisheries Development Board building,Another example of memetic architecture this time in Hyderabad in a building that is shaped as a humongous fish.,https://en.wikipedia.org/wiki/India
Ōkunoshima,An island between the Japanese home islands of Honshu and Shikoku formerly home to a chemical weapons plant in WW2 now home to a huge population of feral but largely tame rabbits.,https://en.wikipedia.org/wiki/Japan
Omsk Metro,A metro system with only one station and a total length of zero kilometres.,https://en.wikipedia.org/wiki/Russia
Peanut Hole,A delightfully named patch of ocean in the Sea of Okhotsk that is totally surrounded by Russia's EEZ but not inside it. Often the subject of foreign overfishing.,https://en.wikipedia.org/wiki/Russia
Rednaxela Terrace,A street in Hong Kong whose name was reportedly reversed due to a clerical error,https://en.wikipedia.org/wiki/Hong_Kong
Robot Building,That's not a giant robot looming in Bangkok; it's just a bank's headquarters.,https://en.wikipedia.org/wiki/Thailand
Ryugyong Hotel,Once it would have been the world's tallest hotel – except it lacked windows fittings or fixtures for over twenty years.,https://en.wikipedia.org/wiki/North_Korea
San Serriffe,A lesser-known island in the Indian Ocean subject of the April 1 1977 Guardian.,https://en.wikipedia.org/wiki/San_Serriffe
Sansha,A disputed prefecture-level city in Hainan consisting of a collection of atolls and reefs throughout the South China Sea.,https://en.wikipedia.org/wiki/China
Seikan Tunnel Tappi Shakō Line,The closed funicular that connects an underground train station inside the Seikan Tunnel with a museum.,https://en.wikipedia.org/wiki/Japan
Shingō Aomori,A town in Japan that is (supposedly) home to the tomb of Jesus. The story behind the supposed tomb is even odder.,https://en.wikipedia.org/wiki/Japan
Soʻx District,An exclave of Uzbekistan enclaved within Kyrgyzstan with a 99% Tajik population.,https://en.wikipedia.org/wiki/Uzbekistan
Tashirojima,An island in Japan notable for being full of cats.,https://en.wikipedia.org/wiki/Japan
Tomb of Suleyman Shah,One of the burial sites of the first Ottoman emperor's grandfather is part of Turkey despite being 27 kilometres (17 mi) south of the country's border with Syria.,https://en.wikipedia.org/wiki/Turkey
Tsu Station,By kana the tersest railway station in Japan serving the capital of an almost as terse prefecture. By stroke count the tersest in the world. By transliteration only second-tersest.,https://en.wikipedia.org/wiki/Japan
Wonderland Amusement Park,The largest abandoned amusement park in Asia.,https://en.wikipedia.org/wiki/China
X-Seed 4000,The tallest building ever designed standing 4 kilometres (2.5 mi) tall and housing 500000 to 1000000 people on 800 floors. It is however never meant to be built.,https://en.wikipedia.org/wiki/Japan
Yongning Pagoda,A 6th-century pagoda that was possibly the tallest structure in the world until it was destroyed by lightning 18 years after its completion.,https://en.wikipedia.org/wiki/China
Zheltuga Republic,An illegal gold mining settlement that developed into a thriving unrecognised country only surviving because the Chinese government was unaware that it existed.,https://en.wikipedia.org/wiki/China
Argleton,A non-existent town in Lancashire England that appeared on Google Maps.,https://en.wikipedia.org/wiki/England
Baarle-Hertog,Two municipalities one of Belgium and one of the Netherlands that surround each other twice and many times over. Some houses and shops are in both countries.,https://en.wikipedia.org/wiki/Flemish_Region
Barcelona Supercomputing Center,A supercomputer in a medieval chapel.,https://en.wikipedia.org/wiki/Spain
Barentsburg,A completely Russian town inhabited by Russians with Russian buildings supported financially by the Russian government located in Norway.,https://en.wikipedia.org/wiki/Svalbard_and_Jan_Mayen
Barra Airport,An airport that only operates when the tide allows.,https://en.wikipedia.org/wiki/Scotland
Battersea Power Station station,A train station named after a non-train station.,https://en.wikipedia.org/wiki/England
Beans and Bacon mine,With such little ventilation visitors may want to avoid any source of ignition. Nearby mines are not to be outdone and have the following names: Mule Spinner Frogs Hole Cackle Mackle and Wanton Legs.,https://en.wikipedia.org/wiki/England
Berlin Brandenburg Airport,A construction-finished but unfinished in other areas airport in Berlin. Construction was finished in 2012; however the opening date was repeatedly pushed back as the fire suppression system was installed incorrectly. It finally opened in October 2020.,https://en.wikipedia.org/wiki/Brandenburg
Bielefeld conspiracy,The Bielefeld-Verschwörung tries to hide the horrible truth about a city in Westphalia Germany that doesn't exist... well maybe.,https://en.wikipedia.org/wiki/North_Rhine-Westphalia
Brennender Berg,A German coal mine on fire since 1668.,https://en.wikipedia.org/wiki/Saarland
The Broomway,The most dangerous path in the world? Would you join a hundred others who died walking the invisible path?,https://en.wikipedia.org/wiki/England
Brusio spiral viaduct,The title says it all really.,https://en.wikipedia.org/wiki/Grisons
Büsingen am Hochrhein,A German town that is fully contained within Switzerland.,https://en.wikipedia.org/wiki/Baden-W%C3%BCrttemberg
Butt Hole Road,A tiny residential street in the UK that was so infamous for its name that it became a tourist attraction.,https://en.wikipedia.org/wiki/England
Carpatho-Ukraine,The third-shortest-lived state in history (see Benin Republic in Nigeria); it was independent for only 24 hours.,https://en.wikipedia.org/wiki/Ukraine
Cerne Abbas Giant,An indecent chalk man in the English countryside.,https://en.wikipedia.org/wiki/England
Ferdinand Cheval,A postman who for thirty-three years collected stones while making his rounds and used them to build a surreal Palais Idéal (Ideal Palace) of astonishing proportions and intricate detail.,https://en.wikipedia.org/wiki/France
Colletto Fava,A 1500-metre (4900 ft) hill with a 61-metre (200 ft) stuffed pink bunny on top.,https://en.wikipedia.org/wiki/Italy
Ebenezer Place Wick,The world's shortest street.,https://en.wikipedia.org/wiki/Scotland
Fallen Monument Park,A Russian park best known for its toppled statues.,https://en.wikipedia.org/wiki/Moscow
Ferdinandea Island,The island that disappeared. And rose again. And sank again. And rose again. And sank again.,https://en.wikipedia.org/wiki/Italy
Flannan Isles Lighthouse,Located on Eilean Mór this lighthouse to the west of Scotland is the subject of an enduring mystery over the disappearance of its keepers in 1900.,https://en.wikipedia.org/wiki/Scotland
Forest swastika,A gigantic swastika made of larch trees that went unnoticed for nearly sixty years.,https://en.wikipedia.org/wiki/Brandenburg
Gammalsvenskby,A Swedish village populated by Swedes who speak an ancient Swedish dialect in Ukraine.,https://en.wikipedia.org/wiki/Ukraine
Gropecunt Lane,A street name found in English towns and cities during the Middle Ages.,https://en.wikipedia.org/wiki/England
Grūtas Park,Alternatively known as Stalin World this park answers the little-asked question of what should we do with all these Soviet-era statues and monuments from our oppressive past? Won its creator mushroom magnate Viliumas Malinauskas the 2001 Ig Nobel Prize.,https://en.wikipedia.org/wiki/Lithuania
Icelandic Phallological Museum,A museum in Iceland solely devoted to the collection of penis specimens and penis-related art.,https://en.wikipedia.org/wiki/Iceland
JASON reactor,The only nuclear reactor in a 17th-century building.,https://en.wikipedia.org/wiki/England
Leaning Tower of Suurhusen,Beating the world-famous Leaning Tower of Pisa by 1.22 degrees.,https://en.wikipedia.org/wiki/Lower_Saxony
List of destroyed landmarks in Spain,Over 60 interesting buildings including larger castles royal palaces leaning towers city gates which were completely or partially demolished and no longer exist with their respective articles and images.,https://en.wikipedia.org/wiki/Spain
Llandegley International Airport,When is an international airport not an international airport? When it's not an airport at all.,https://en.wikipedia.org/wiki/Wales
Llanfairpwllgwyngyll,Or Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch if you want to get technical.,https://en.wikipedia.org/wiki/Wales
Magic Roundabout,Only in the United Kingdom would you find a large roundabout with six mini-roundabouts. (Not to be confused with the Magic Roundabouts in Colchester Swindon or High Wycombe – or for that matter this Magic Roundabout.),https://en.wikipedia.org/wiki/England
Märket,A lighthouse built on this island led to a redefinition of the border between Sweden and Finland.,https://en.wikipedia.org/wiki/Sweden
Metro-2,A purported secret metro line in Moscow.,https://en.wikipedia.org/wiki/Russia
Monte Kaolino,A ski resort without snow.,https://en.wikipedia.org/wiki/Bavaria
Mount Athos,An autonomous polity in Greece home to 20 monasteries notable for being the only political subdivision in the world in which women (as well as female animals) are prohibited from entering for any reason.,https://en.wikipedia.org/wiki/Greece
Municipalities of Liechtenstein,The blotchy angular borders between these divisions seem almost arbitrarily strange. The UAE's are similarly weird.,https://en.wikipedia.org/wiki/Liechtenstein
Neutral Moresnet,A tiny European region – approximately 1.4 square miles (3.6 km2) – that existed for a century as neutral territory between Germany and Belgium.,https://en.wikipedia.org/wiki/Belgium
Newhaven Marine railway station,A railway station that was technically open between 2006 and 2020 despite (a) no passenger trains serving the station during that time (b) an inability to buy tickets to the station and (c) the station itself being demolished in 2017.,https://en.wikipedia.org/wiki/England
Other World Kingdom,A micronation and BDSM resort whose ultimate goal is absolute matriarchy – for all men to be enslaved by women.,https://en.wikipedia.org/wiki/Czech_Republic
Papa Westray Airport,An unassuming coastal airport in the Orkney Isles where you can take a scenic flight to the nearby island of Westray and enjoy all 47 seconds to 1 minute and 30 seconds of it.,https://en.wikipedia.org/wiki/Scotland
Paradiskullen,A ski jumping hill with a landing area that goes under one of Sweden's busiest railroads.,https://en.wikipedia.org/wiki/Sweden
Pheasant Island,An uninhabited river island which switches sovereignty between France and Spain every six months.,https://en.wikipedia.org/wiki/France
Principality of Sealand,A micronation located 6 miles (9.7 km) off the coast of Suffolk England whose population rarely exceeds ten.,https://en.wikipedia.org/wiki/England
Reality Checkpoint,A lamppost with its own name.,https://en.wikipedia.org/wiki/England
Röstigraben,The Coarsely Grated Potato Ditch in Switzerland dividing Swiss-German and Swiss-French cuisine.,https://en.wikipedia.org/wiki/Switzerland
Saatse Boot,A piece of Russian territory through which a 900-metre (3000 ft) stretch of Estonian road passes. Although people are allowed to drive on the road without a permit or visa it is prohibited to travel on foot or to stop the vehicle for any reason.,https://en.wikipedia.org/wiki/Pskov_Oblast
Schwerbelastungskörper,A piece of Nazi architecture in Berlin built with the sole purpose of being heavy.,https://en.wikipedia.org/wiki/Berlin
Scottish Court in the Netherlands,A former Dutch NATO base called Camp Zeist was briefly ceded to Scotland to enable the trial of the Pan Am Flight 103 bombers.,https://en.wikipedia.org/wiki/Netherlands
Sedlec Ossuary,A Christian chapel decorated by the bones of approximately 40000 people.,https://en.wikipedia.org/wiki/Czech_Republic
Sexi (Phoenician colony),An ancient ruins also known as Sex or Ex with several Roman-era suburbs including Pænis Socordia and Villa Fatuus Maximus.,https://en.wikipedia.org/wiki/Spain
Shell Grotto Margate,A grotto with a mosaic of 4.6 million seashells hidden underneath a backyard. Nobody knows who built it when or for what purpose.,https://en.wikipedia.org/wiki/England
Smallest House in Great Britain,Only 5.49 square metres (59.1 sq ft) in size in North Wales.,https://en.wikipedia.org/wiki/Wales
Sovereign Military Order of Malta,A sovereign state with no land? How is that possible?,https://en.wikipedia.org/wiki/Sovereign_Military_Order_of_Malta
Spreuerhofstraße,The world's narrowest street.,https://en.wikipedia.org/wiki/Baden-W%C3%BCrttemberg
Svalbard Global Seed Vault,If a global famine occurs you better hope you live in Svalbard.,https://en.wikipedia.org/wiki/Svalbard
,A giant chalk figure that has to be hit with hammers regularly to maintain it.,https://en.wikipedia.org/wiki/England
UFO-Memorial Ängelholm,A memorial to a reputed UFO landing in Sweden.,https://en.wikipedia.org/wiki/Sweden
Unst Bus Shelter,The only of its kind on the island of Unst Shetland. It is periodically refurnished and contains a sofa and TV.,https://en.wikipedia.org/wiki/Scotland
Vennbahn,A disused railway in Belgium which separates five pieces of Germany from the rest of Germany.,https://en.wikipedia.org/wiki/Belgium
Veyshnoria,A nonexistent border country of Belarus invented for a Union State military exercise and adopted by the Internet. It's totally coincidental that the territory of this enemy state corresponds to the most Catholic most anti-Lukashenko and least Russian-speaking regions of Belarus honest.,https://en.wikipedia.org/wiki/Belarus
Weißwurstäquator,The White Sausage Equator in Germany.,https://en.wikipedia.org/wiki/Germany
White's,London's oldest and most famous gentleman's club had several famous people as members including King Charles III Prince William former prime minister David Cameron and so on. The club is pretty much top secret so yes the English illuminati definitely aren't lurking and drinking tea there. Also no girls are allowed.,https://en.wikipedia.org/wiki/England
Whip-Ma-Whop-Ma-Gate,And the best street name has to go to this street in York England. Also said to be the shortest street in the city too!,https://en.wikipedia.org/wiki/England
Wooden Spoons Museum,A museum with the largest collection of wooden spoons in the world ranging from 3500 to over 6000. Ladles and 500 erasers can also be found!,https://en.wikipedia.org/wiki/Romania
Željava Air Base,An abandoned air base located on the border between Croatia and Bosnia that's almost entirely underground.,https://en.wikipedia.org/wiki/Croatia
11 foot 8+8 Bridge,The bridge that continues to slice the roof off trucks that have fallen victim to it.,https://en.wikipedia.org/wiki/North_Carolina
33 Thomas Street,A windowless skyscraper in New York and suspected NSA mass surveillance hub. Not suspicious at all.,https://en.wikipedia.org/wiki/New_York_(state)
A Mountain,Also known as Sentinel Peak this hill in Tucson Arizona literally has a big letter A on it.,https://en.wikipedia.org/wiki/Arizona
Agloe New York,A fictional town in New York. Originally a phantom settlement created as a copyright trap for a mapmaker that ended up developing into an actual landmark.,https://en.wikipedia.org/wiki/New_York_(state)
Alcohol and Drug Abuse Lake,Supposedly named after the treatment center nearby.,https://en.wikipedia.org/wiki/South_Carolina
Aroma of Tacoma,What an incredible smell you've discovered could have been this Washington city's motto.,https://en.wikipedia.org/wiki/Washington_(state)
Aquarius Reef Base,A real-live underwater laboratory.,https://en.wikipedia.org/wiki/Florida
Badlands Guardian,A natural topographic feature in Alberta Canada which when viewed from above looks remarkably like a human wearing a Native American headdress and earbuds.,https://en.wikipedia.org/wiki/Alberta
Beatosu and Goblu,Two non-existent towns that appeared on Michigan's official highway map as a reference to the University of Michigan and its rival Ohio State University.,https://en.wikipedia.org/wiki/Ohio
Bubbly Creek,The branch of the Chicago River that was so contaminated with blood from the Stock Yards that it gained this appetizing moniker.,https://en.wikipedia.org/wiki/Illinois
Bullfrog County Nevada,A former county in Nevada established around a mountain which was to become a radioactive waste disposal site. As of 2022 it is the only uninhabited county-equivalent to ever be created in the United States.,https://en.wikipedia.org/wiki/Nevada
Canusa Street,A road that's in both Canada and USA.,https://en.wikipedia.org/wiki/Quebec
Capitol Hill's mystery soda machine,A machine that offered rare drinks and nobody knows who operated it. It was in operation from the 1990s to 2018 when it disappeared and a note was left saying: “Went for a walk”.,https://en.wikipedia.org/wiki/Washington_(state)
Cat Girl Manor,A manor described as the Playboy Mansion of the kitten play community.,https://en.wikipedia.org/wiki/Colorado
Centralia Pennsylvania,A town that's been on fire since 1962.,https://en.wikipedia.org/wiki/Pennsylvania
Clinton Road (New Jersey),In addition to having the longest traffic light in the country the road is also notorious for reported occurrences of paranormal activity.,https://en.wikipedia.org/wiki/New_Jersey
Colma California,A town where the dead outnumber the living by 1000 to 1.,https://en.wikipedia.org/wiki/California
Corporation Trust Center (CT Corporation),A small single-story building where over 285000 companies or over 15% of all companies in the United States are legally based.,https://en.wikipedia.org/wiki/Delaware
Crush Texas,A temporary city established as the site of an 1896 publicity stunt a staged train wreck. The wreck unexpectedly caused two deaths and numerous injuries among spectators.,https://en.wikipedia.org/wiki/Texas
Dave Thomas Circle,A six-way intersection in Northeast D.C. with a Wendy's restaurant located in the middle until 2021. The site of numerous traffic fatalities it's currently being converted into a city park.,https://en.wikipedia.org/wiki/Washington,_D.C.
Dixie Square Mall,A shopping mall that stood abandoned for over twice as long as it was in business until it was finally demolished in 2012. It was featured in the 1980 film The Blues Brothers and became a popular target for urban explorers.,https://en.wikipedia.org/wiki/Illinois
Dorset Minnesota,A town that on multiple occasions has had a child as their mayor.,https://en.wikipedia.org/wiki/Minnesota
Dude Chilling Park,Originally a sign placed in a Vancouver park as a prank now officially recognized public art.,https://en.wikipedia.org/wiki/British_Columbia
Ernst Thälmann Island,An island off the coast of Cuba that was (sort of) ceded to East Germany and thus (sort of) remains part of East Germany which doesn't exist anymore (sort of).,https://en.wikipedia.org/wiki/Cuba
Fenelon Place Elevator,The shortest and steepest railroad in the world (supposedly) located in a town of around 60000 people.,https://en.wikipedia.org/wiki/Iowa
Florence Y'all Water Tower,A Northern Kentucky town's unique welcome sign.,https://en.wikipedia.org/wiki/Kentucky
List of former counties cities and towns of Virginia,All the places that are no longer found in Virginia such as Illinois County and a few that never were (including Walton's Mountain).,https://en.wikipedia.org/wiki/Virginia
Gann Valley South Dakota,The county seat of Buffalo County South Dakota despite nearby Fort Thompson having a population more than 120 times larger than Gann Valley.,https://en.wikipedia.org/wiki/South_Dakota
Greater Green River Intergalactic Spaceport,Consists entirely of a deeply rutted unmanned strip of soil/gravel and a windsock.,https://en.wikipedia.org/wiki/Wyoming
Gum Wall,A brick wall in Seattle burdened by chewing gum. Cleaned in 2015 only to be turned into a memorial for Paris.,https://en.wikipedia.org/wiki/Washington_(state)
Hans Island,A deserted Arctic island fought over by Canada and the Kingdom of Denmark for decades. The 2022 settlement created a land border between a North American and a European country.,https://en.wikipedia.org/wiki/Canada
Hawaii 2,A quaint island in Maine purchased by Cards Against Humanity in 2014.,https://en.wikipedia.org/wiki/Maine
Hess Triangle,This used to be part of a bigger plot of land but a road destroyed it but the planners couldn't plan correctly so it left this piece of land.,https://en.wikipedia.org/wiki/New_York_(state)
Horace Burgess's Treehouse,A tree house built by a minister who claimed to have received a vision from God.,https://en.wikipedia.org/wiki/Tennessee
Interstate 180 (Wyoming),An Interstate Highway that isn't really a freeway at all.,https://en.wikipedia.org/wiki/Wyoming
Interstate 19,The only U.S. highway marked in metric units a relic of a historical push for metrication.,https://en.wikipedia.org/wiki/Arizona
Island of California,The third-largest U.S. state was formerly an island – at least on paper.,https://en.wikipedia.org/wiki/California
Island of the Dolls,Located in Mexico City this is an island full of broken and deteriorated dolls of various styles and colors originally placed by the former owner of the island.,https://en.wikipedia.org/wiki/Mexico_City
Jackass Flats,The aptly named test site for the world's first and only nuclear-powered rocket engines.,https://en.wikipedia.org/wiki/Nevada
Jerimoth Hill,The highest natural point in Rhode Island. For years one of the toughest highpoints in the U.S. to scale not because of its 812-foot (247 m) height but because of an angry old man who lived nearby.,https://en.wikipedia.org/wiki/Rhode_Island
Just Room Enough Island,This island is about one-thirteenth of an acre in size but that didn't stop the Sizeland family from building a house on it.,https://en.wikipedia.org/wiki/New_York_(state)
Landsat Island,A lonesome island with a frankly humorous tale.,https://en.wikipedia.org/wiki/Newfoundland_and_Labrador
List of gaps in Interstate Highways,Traffic-lighted intersections drawbridges and other oddities in the Interstate Highway System which violate the standards.,https://en.wikipedia.org/wiki/United_States
List of Las Vegas casinos that never opened,What happened on the drawing board stayed on the drawing board.,https://en.wikipedia.org/wiki/Nevada
London Bridge,An over century year old authentic English bridge...that now resides in the middle of the desert.,https://en.wikipedia.org/wiki/Arizona
M-185 (Michigan highway),The only state highway in the country that bans motor vehicles. It's also the only state highway to not have an accident until 2005.,https://en.wikipedia.org/wiki/Michigan
Mary Ellis grave,A grave that found itself in the middle of a movie theater parking lot.,https://en.wikipedia.org/wiki/New_Jersey
Memphis Pyramid,The tenth-largest pyramid in the world located in Memphis Tennessee and home to a Bass Pro Shops megastore.,https://en.wikipedia.org/wiki/Tennessee
Michigan left,Directions are more complicated in Michigan.,https://en.wikipedia.org/wiki/Michigan
Mickey pylon,A powerline pylon with a shape reminiscent of a certain fictional rodent.,https://en.wikipedia.org/wiki/Florida
Mill Ends Park,The smallest park in the world – 452 in2 (0.292 m2) – in Portland Oregon.,https://en.wikipedia.org/wiki/Oregon
Mojave phone booth,A public phone booth that stood for several decades in the middle of a desert miles away from any roads or other structures.,https://en.wikipedia.org/wiki/California
Mollie's Nipple,The name of multiple places in Utah.,https://en.wikipedia.org/wiki/Utah
Monowi,A village in Nebraska with a population of one. Hi Elsie!,https://en.wikipedia.org/wiki/Nebraska
Mr. Trash Wheel,A trash interceptor with giant googly eyes that patrols the Baltimore Inner Harbor consuming trash. Has its own Instagram page.,https://en.wikipedia.org/wiki/Maryland
Murder Kroger,A supermarket with a dark story.,https://en.wikipedia.org/wiki/Georgia_(U.S._state)
National Raisin Reserve,Created after World War II to control raisin prices. Run by the Raisin Administrative Committee of course.,https://en.wikipedia.org/wiki/California
Nettilling Lake,Located on Baffin Island Nunavut Canada. It's the largest lake on an island and also contains the largest lake on an island on a lake on an island which in turn contains the world's largest island in a lake on an island in a lake on an island.,https://en.wikipedia.org/wiki/Nunavut
Nitt Witt Ridge,A house in California built out of beer cans abalone shells car parts and other garbage previously tossed out by local residents is now a historic landmark.,https://en.wikipedia.org/wiki/California
Plymouth Montserrat,A national capital with zero population.,https://en.wikipedia.org/wiki/Montserrat
Pig Beach,A place where you can swim with pigs.,https://en.wikipedia.org/wiki/The_Bahamas
Point Roberts Washington,When defining international boundaries sometimes a straight line isn't the best solution.,https://en.wikipedia.org/wiki/Washington_(state)
Polar Bear Holding Facility,A prison for polar bears.,https://en.wikipedia.org/wiki/Manitoba
Prada Marfa Texas,For your luxury shopping bug a Prada store in the desert.,https://en.wikipedia.org/wiki/Texas
Pyramid mausoleums in North America,Arizona Governor George Hunt will hereafter be addressed as Pharaoh George I.,https://en.wikipedia.org/wiki/List_of_pyramid_mausoleums_in_North_America
Rabbit Hash Kentucky,A town whose mayors since 1998 have all been dogs.,https://en.wikipedia.org/wiki/Kentucky
Raising of Chicago,During the 1850s the city was raised on jacks building by building.,https://en.wikipedia.org/wiki/Illinois
Republic of Indian Stream,An area of land in northern New Hampshire that was an independent country from 1832 to 1835.,https://en.wikipedia.org/wiki/New_Hampshire
Republic of Molossia,A 34-person micronation in Nevada which takes the meaning of the phrase a man's home is his castle to new extremes.,https://en.wikipedia.org/wiki/Nevada
Río Rico Tamaulipas,A city that was ceded by the United States to Mexico in 1977 due to an earlier diversion of the Rio Grande.,https://en.wikipedia.org/wiki/Tamaulipas
